longitude,latitude,YR,MO,X,Y,TOT,CR
-73.86540111,40.75300951,2014,6,1021542,213647,1,ROBBERY
-74.08142316,40.61754998,2014,3,961645,164277,1,FELONY ASSAULT
-74.13194207,40.6398512,2014,3,947632,172419,1,FELONY ASSAULT
-74.15928241,40.58367172,2014,3,940007,151964,1,FELONY ASSAULT
-73.90180219,40.88452661,2014,3,1011403,261550,1,FELONY ASSAULT
-73.89724311,40.85093577,2014,3,1012678,249313,1,FELONY ASSAULT
-73.89330931,40.85611421,2014,3,1013764,251201,1,FELONY ASSAULT
-73.90327583,40.8883018,2014,3,1010994,262925,1,ROBBERY
-73.86137304,40.88311827,2014,4,1022583,261052,1,FELONY ASSAULT
-73.82463998,40.82605525,2014,4,1032782,240280,1,FELONY ASSAULT
-73.865658,40.87260842,2014,4,1021404,257221,1,FELONY ASSAULT
-73.85570293,40.89460059,2014,4,1024144,265238,1,FELONY ASSAULT
-73.8990401,40.81487731,2014,4,1012196,236175,2,FELONY ASSAULT
-73.91804744,40.81990699,2014,4,1006933,238002,1,ROBBERY
-73.92720941,40.82364321,2014,4,1004396,239361,1,RAPE
-73.94309841,40.63543058,2014,4,1000043,170786,1,FELONY ASSAULT
-73.96220413,40.57957088,2014,7,994749,150432,1,ROBBERY
-73.98925289,40.60981604,2014,4,987234,161449,1,FELONY ASSAULT
-73.93110683,40.65377291,2014,4,1003366,177471,2,FELONY ASSAULT
-73.92842559,40.68726853,2014,4,1004100,189675,1,FELONY ASSAULT
-74.01785952,40.62061866,2014,4,979292,165385,1,FELONY ASSAULT
-73.88827339,40.66264061,2014,4,1015247,180714,1,FELONY ASSAULT
-73.95860572,40.66422449,2014,4,995734,181274,1,ROBBERY
-73.89774777,40.65668226,2014,4,1012621,178540,1,FELONY ASSAULT
-74.02276253,40.6219847,2014,4,977931,165883,1,FELONY ASSAULT
-73.90832815,40.66024567,2014,4,1009684,179835,1,FELONY ASSAULT
-73.91241583,40.68738921,2014,4,1008540,189723,1,FELONY ASSAULT
